epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3431,0.69592,2.6353,1.44926,0.52229,0.79855,0.65669,0.45951,1.03158,4.58381,1.37253,0.000412979,0.000412979,0.000412979
2,95.6955,0.3987,1.66793,1.16432,0.47735,0.73773,0.68901,0.5498,0.88394,2.84361,1.51391,0.000813219,0.000813219,0.000813219
3,142.33,0.35861,1.30913,1.11102,0.53151,0.85687,0.70951,0.63544,0.52526,1.48281,1.03951,0.00119696,0.00119696,0.00119696
4,189.172,0.32109,1.13471,1.06725,0.43376,0.79962,0.69577,0.65988,0.3616,2.0416,1.01758,0.00117575,0.00117575,0.00117575
5,235.978,0.28513,0.98869,1.02948,0.56084,0.71771,0.75509,0.74606,0.35,1.38556,1.08472,0.001151,0.001151,0.001151
6,282.847,0.26728,0.8626,1.0132,0.75288,0.84334,0.86382,0.83065,0.32106,0.77701,0.89265,0.00112625,0.00112625,0.00112625
7,329.929,0.2604,0.80045,1.00718,0.68323,0.84677,0.86832,0.8582,0.26113,0.95452,0.84145,0.0011015,0.0011015,0.0011015
8,376.79,0.25819,0.77091,1.00278,0.7973,0.81294,0.91121,0.88443,0.29793,0.79269,0.90234,0.00107675,0.00107675,0.00107675
9,423.813,0.24586,0.7101,0.98797,0.86847,0.86528,0.9499,0.93538,0.2755,0.63067,0.87274,0.001052,0.001052,0.001052
10,471.105,0.23534,0.68534,0.98241,0.6368,0.89488,0.91574,0.89416,0.28193,1.28196,0.85081,0.00102725,0.00102725,0.00102725
11,518.387,0.22888,0.64273,0.98162,0.83925,0.85995,0.96352,0.91858,0.36338,0.80293,0.9348,0.0010025,0.0010025,0.0010025
12,565.195,0.2254,0.63766,0.97603,0.86199,0.85212,0.95655,0.94863,0.24435,0.67489,0.84756,0.00097775,0.00097775,0.00097775
13,611.965,0.2215,0.62876,0.97486,0.7923,0.88521,0.95358,0.94391,0.28169,0.76814,0.86482,0.000953,0.000953,0.000953
14,659.117,0.21688,0.5631,0.97365,0.88359,0.90623,0.97264,0.95802,0.23845,0.59426,0.76754,0.00092825,0.00092825,0.00092825
15,706.446,0.20907,0.53614,0.96981,0.80105,0.9286,0.95428,0.94726,0.2343,0.62154,0.79067,0.0009035,0.0009035,0.0009035
16,753.979,0.20735,0.51019,0.96576,0.97067,0.95835,0.9903,0.97961,0.26649,0.44388,0.79058,0.00087875,0.00087875,0.00087875
17,800.79,0.19712,0.47084,0.95679,0.77886,0.81927,0.98026,0.96165,0.25104,0.63131,0.74618,0.000854,0.000854,0.000854
18,847.927,0.19404,0.47527,0.95524,0.9318,0.93459,0.98293,0.96983,0.24323,0.41611,0.76668,0.00082925,0.00082925,0.00082925
19,895.32,0.19216,0.47525,0.9566,0.93491,0.96455,0.99116,0.98733,0.21735,0.41521,0.78231,0.0008045,0.0008045,0.0008045
20,942.25,0.19137,0.45863,0.95527,0.96541,0.95196,0.99265,0.98631,0.23604,0.35444,0.761,0.00077975,0.00077975,0.00077975
21,989.329,0.18967,0.44249,0.9526,0.98442,0.97939,0.99378,0.99266,0.21697,0.42138,0.73561,0.000755,0.000755,0.000755
22,1036.73,0.18476,0.42818,0.95276,0.97084,0.9765,0.99225,0.96219,0.27538,0.41156,0.76793,0.00073025,0.00073025,0.00073025
23,1083.47,0.1748,0.3805,0.94279,0.96944,0.97457,0.99399,0.99353,0.21031,0.34216,0.74644,0.0007055,0.0007055,0.0007055
24,1130.91,0.17317,0.39268,0.94621,0.82512,0.89602,0.97874,0.9734,0.20493,0.61849,0.73383,0.00068075,0.00068075,0.00068075
25,1178.2,0.16845,0.37008,0.94104,0.99508,0.97733,0.99483,0.99053,0.24005,0.34538,0.80493,0.000656,0.000656,0.000656
26,1225.55,0.17174,0.36686,0.94492,0.98277,0.99206,0.99374,0.99019,0.23767,0.29497,0.73783,0.00063125,0.00063125,0.00063125
27,1272.81,0.17064,0.36196,0.94117,0.96484,0.96524,0.99446,0.99237,0.21762,0.34635,0.71988,0.0006065,0.0006065,0.0006065
28,1319.93,0.16932,0.37238,0.94584,0.98912,0.97676,0.99478,0.9929,0.23881,0.28667,0.78279,0.00058175,0.00058175,0.00058175
29,1367.38,0.1614,0.33641,0.93803,0.99276,0.99876,0.995,0.99437,0.21453,0.27906,0.71295,0.000557,0.000557,0.000557
30,1414.88,0.15875,0.31939,0.93444,0.98718,0.99573,0.99464,0.99367,0.18946,0.25535,0.71617,0.00053225,0.00053225,0.00053225
31,1462.18,0.15511,0.31681,0.93117,0.97686,0.96925,0.9949,0.9943,0.18938,0.30414,0.71583,0.0005075,0.0005075,0.0005075
32,1509.17,0.15172,0.30564,0.93219,0.99437,0.99684,0.995,0.99401,0.18837,0.26972,0.69949,0.00048275,0.00048275,0.00048275
33,1556.31,0.15044,0.30942,0.93555,0.98049,0.99153,0.99471,0.9946,0.17584,0.28241,0.6887,0.000458,0.000458,0.000458
34,1603.7,0.15025,0.29635,0.92904,0.9857,0.99573,0.99495,0.99436,0.18126,0.24742,0.69518,0.00043325,0.00043325,0.00043325
